id,document_nr,title,contact_id,contact_sub_id,user_id,project_id,logopaper_id,language_id,bank_account_id,currency_id,payment_type_id,header,footer,total_gross,total_net,total_taxes,total_received_payments,total_credit_vouchers,total_remaining_payments,total,total_rounding_difference,mwst_type,mwst_is_net,show_position_taxes,is_valid_from,is_valid_to,contact_address,kb_item_status_id,reference,api_reference,viewed_by_client_at,updated_at,esr_id,qr_invoice_id,template_slug,taxs,network_link
2,RE-00002,"Gesuche - Dorfstrasse 22A/22E, 5624 Bünzen",4,,1,4.0,1,1,1,1,4,Sehr geehrte Damen und Herren<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,560.000000,560.000000,43.1200,603.100000,0.000000,0.0000,603.100000,-0.02,0,True,False,2022-04-13,2022-05-12,"Stalder-Rüttimann GmbH
Unterdorf 12
5636 Benzenschwil
Schweiz",9,,,,2022-10-09 19:42:51,2,2,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '43.1200'}]",
3,RE-00003,"GEAK®, EFH, Kt. AG",8,,1,2.0,1,1,1,1,4,Guten Tag Herbert Schacher<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,860.000000,798.500000,61.4856,860.000000,0.000000,0.0000,860.000000,0.0,0,False,False,2022-04-13,2022-05-12,"Herr
Herbert Schacher
Schlosshubelweg 32
4805 Brittnau
Schweiz",9,"Einfamilienhaus, Schlosshubelweg 32, 4805 Brittnau",,,2022-04-19 14:30:22,3,3,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '61.4856'}]",
4,RE-00004,"Wärmepumpe Fördergesuch Zürich, Klimastiftung Schweiz",5,,1,,1,1,1,1,4,Guten Tag AQUASANI GmbH<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,278.550000,278.550000,21.4484,300.000000,0.000000,0.0000,300.000000,0.0,0,True,False,2022-05-04,2022-06-02,"AQUASANI GmbH
Jozef Kajtazi
Freiestrasse 48A
8580 Amriswil
Schweiz",9,,,,2022-10-09 19:01:00,4,4,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '21.4484'}]",
5,RE-00005,,5,,1,14.0,1,1,1,1,4,Guten Tag AQUASANI GmbH<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,464.250000,464.250000,35.7473,500.000000,0.000000,0.0000,500.000000,0.0,0,True,False,2022-05-04,2022-06-02,"AQUASANI GmbH
Jozef Kajtazi
Freiestrasse 48A
8580 Amriswil
Schweiz",9,,,,2022-10-09 19:02:13,5,5,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '35.7473'}]",
8,RE-00008,"GEAK+, Rankstrasse 4, Nussbaumen, EFH",19,,1,17.0,1,1,1,1,4,Guten Tag  Ronald Frei und Nadja Lötscher<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,1100.000000,1021.350000,78.6444,1100.000000,0.000000,0.0000,1100.000000,0.0,0,False,False,2022-05-04,2022-06-02,"Herr & Frau
Ronald Frei und Nadja Lötscher
Rankstrases 4
5415 Nussbaumen
Schweiz",9,,,,2022-12-08 11:13:44,7,7,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '78.6444'}]",
11,RE-00011,"Lang Gewerbehaus, Neuhausen",2,,1,19.0,1,1,1,1,4,Guten Tag AQUA rep AG<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,426.300000,426.300000,32.8251,459.150000,0.000000,0.0000,459.150000,0.02,0,True,False,2022-05-04,2022-06-02,"AQUA rep AG
Gjuchstrasse 1
8905 Arni
Schweiz",9,,,,2022-05-18 10:23:47,8,8,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '32.8251'}]",
13,RE-00013,"Gesuche - Hühnenbergstrasse 74, 6330 Cham",4,,1,7.0,1,1,1,1,4,Sehr geehrte Damen und Herren<br /><br />Danke f&uuml;r Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br /><br />Freundliche Gr&uuml;sse<br />Kevin Imhoff,530.000000,530.000000,40.8100,570.800000,0.000000,0.0000,570.800000,-0.01,0,True,False,2022-05-04,2022-06-02,"Stalder-Rüttimann GmbH
Unterdorf 12
5636 Benzenschwil
Schweiz",9,,,,2022-10-09 19:45:12,9,9,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '40.8100'}]",
15,RE-00015,Ausführungsplanung HLS,4,20.0,1,20.0,1,1,1,1,4,Guten Tag Yvan Stalder<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,3210.000000,3210.000000,247.1700,3457.150000,0.000000,0.0000,3457.150000,-0.02,0,True,False,2022-03-09,2022-04-07,"Stalder-Rüttimann GmbH
Herr Stalder Yvan
Unterdorf 12
5636 Benzenschwil
Schweiz",9,,,,2022-10-09 19:41:09,10,10,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '247.1700'}]",
16,RE-00016,Ausführungsplanung HLS,4,20.0,1,20.0,1,1,1,1,4,Guten Tag Yvan Stalder<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,2140.000000,2140.000000,164.7800,2304.800000,0.000000,0.0000,2304.800000,0.02,0,True,False,2022-05-04,2022-06-02,"Stalder-Rüttimann GmbH
Herr Stalder Yvan
Unterdorf 12
5636 Benzenschwil
Schweiz",9,,,,2022-10-09 19:46:10,11,11,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '164.7800'}]",
17,RE-00017,Planung Heizung + Abluft,6,,1,21.0,1,1,1,1,4,Guten Tag Sani Project<br/><br/>Danke für Ihr Vertrauen. Ihre Rechnung setzt sich wie folgt zusammen:,Sie haben Fragen? Melden Sie sich bei uns.<br/><br/>Freundliche Grüsse<br/>Kevin Imhoff,2900.000000,2900.000000,223.3000,3123.300000,0.000000,0.0000,3123.300000,0.0,0,True,False,2022-02-01,2022-03-02,"Sani Project
Guido Wolter
Rebhaldenweg 22
5443 Niederrohrdorf
Schweiz",9,,,,2022-10-25 15:32:32,12,12,6228622cf9f3e7797d45edb2,"[{'percentage': '7.70', 'value': '223.3000'}]",
