id,ref_id,ref_class,date,debit_account_id,credit_account_id,description,amount,currency_id,ref_uuid
1,2.0,KbInvoice,2022-04-13T00:00:00+02:00,113,101,"Gesuche - Dorfstrasse 22A/22E, 5624 Bünzen",560.0,1,
2,2.0,KbInvoice,2022-04-13T00:00:00+02:00,113,105,"Gesuche - Dorfstrasse 22A/22E, 5624 Bünzen",43.12,1,
3,2.0,KbInvoice,2022-04-13T00:00:00+02:00,97,113,"Gesuche - Dorfstrasse 22A/22E, 5624 Bünzen",0.02,1,
4,3.0,KbInvoice,2022-04-13T00:00:00+02:00,113,101,"GEAK®, EFH, Kt. AG",798.514392,1,
5,3.0,KbInvoice,2022-04-13T00:00:00+02:00,113,105,"GEAK®, EFH, Kt. AG",61.485608,1,
6,3.0,KbClientAccountEntry,2022-04-19T00:00:00+02:00,115,113,Zahlungseingang,860.0,1,
7,4.0,KbInvoice,2022-05-04T00:00:00+02:00,113,101,"Wärmepumpe Fördergesuch Zürich, Klimastiftung Schweiz",278.55,1,
8,4.0,KbInvoice,2022-05-04T00:00:00+02:00,113,105,"Wärmepumpe Fördergesuch Zürich, Klimastiftung Schweiz",21.44835,1,
9,8.0,KbInvoice,2022-05-04T00:00:00+02:00,113,101,"GEAK+, Rankstrasse 4, Nussbaumen, EFH",1021.355617,1,
10,8.0,KbInvoice,2022-05-04T00:00:00+02:00,113,105,"GEAK+, Rankstrasse 4, Nussbaumen, EFH",78.644383,1,
11,11.0,KbInvoice,2022-05-04T00:00:00+02:00,113,101,"Lang Gewerbehaus, Neuhausen",426.3,1,
12,11.0,KbInvoice,2022-05-04T00:00:00+02:00,113,105,"Lang Gewerbehaus, Neuhausen",32.8251,1,
13,11.0,KbInvoice,2022-05-04T00:00:00+02:00,113,97,"Lang Gewerbehaus, Neuhausen",0.02,1,
14,13.0,KbInvoice,2022-05-04T00:00:00+02:00,113,101,"Gesuche - Hühnenbergstrasse 74, 6330 Cham",530.0,1,
15,13.0,KbInvoice,2022-05-04T00:00:00+02:00,113,105,"Gesuche - Hühnenbergstrasse 74, 6330 Cham",40.81,1,
16,13.0,KbInvoice,2022-05-04T00:00:00+02:00,97,113,"Gesuche - Hühnenbergstrasse 74, 6330 Cham",0.01,1,
21,15.0,KbInvoice,2022-03-09T00:00:00+01:00,113,101,Ausführungsplanung HLS,3210.0,1,
22,15.0,KbInvoice,2022-03-09T00:00:00+01:00,113,105,Ausführungsplanung HLS,247.17,1,
23,15.0,KbInvoice,2022-03-09T00:00:00+01:00,97,113,Ausführungsplanung HLS,0.02,1,
25,16.0,KbInvoice,2022-05-04T00:00:00+02:00,113,101,Ausführungsplanung HLS,2140.0,1,
26,16.0,KbInvoice,2022-05-04T00:00:00+02:00,113,105,Ausführungsplanung HLS,164.78,1,
27,16.0,KbInvoice,2022-05-04T00:00:00+02:00,113,97,Ausführungsplanung HLS,0.02,1,
28,17.0,KbInvoice,2022-02-01T00:00:00+01:00,113,101,Planung Heizung + Abluft,2900.0,1,
29,17.0,KbInvoice,2022-02-01T00:00:00+01:00,113,105,Planung Heizung + Abluft,223.3,1,
38,20.0,KbInvoice,2022-05-18T00:00:00+02:00,113,101,"Gesuche - Albisstr.9, Cham",310.0,1,
39,20.0,KbInvoice,2022-05-18T00:00:00+02:00,113,105,"Gesuche - Albisstr.9, Cham",23.87,1,
40,20.0,KbInvoice,2022-05-18T00:00:00+02:00,97,113,"Gesuche - Albisstr.9, Cham",0.02,1,
42,21.0,KbInvoice,2022-05-18T00:00:00+02:00,113,101,"Gesuche - Bremgarterstr.7, Waltenschw. AG",590.0,1,
43,21.0,KbInvoice,2022-05-18T00:00:00+02:00,113,105,"Gesuche - Bremgarterstr.7, Waltenschw. AG",45.43,1,
44,21.0,KbInvoice,2022-05-18T00:00:00+02:00,113,97,"Gesuche - Bremgarterstr.7, Waltenschw. AG",0.02,1,
45,22.0,KbInvoice,2022-05-18T00:00:00+02:00,113,101,"Gesuche - Oberdorfstr.12, Lieli LU",310.0,1,
46,22.0,KbInvoice,2022-05-18T00:00:00+02:00,113,105,"Gesuche - Oberdorfstr.12, Lieli LU",23.87,1,
47,22.0,KbInvoice,2022-05-18T00:00:00+02:00,97,113,"Gesuche - Oberdorfstr.12, Lieli LU",0.02,1,
48,23.0,KbClientAccountEntry,2022-05-18T00:00:00+02:00,115,113,Zahlungseingang,459.15,1,
50,5.0,KbInvoice,2022-05-04T00:00:00+02:00,113,101,,464.25,1,
51,5.0,KbInvoice,2022-05-04T00:00:00+02:00,113,105,,35.74725,1,
61,27.0,KbInvoice,2022-06-01T00:00:00+02:00,113,101,"Planung H, Sonnenbergstr. 91, 8032 Zürich",612.5,1,
62,27.0,KbInvoice,2022-06-01T00:00:00+02:00,113,105,"Planung H, Sonnenbergstr. 91, 8032 Zürich",47.1625,1,
63,27.0,KbInvoice,2022-06-01T00:00:00+02:00,97,113,"Planung H, Sonnenbergstr. 91, 8032 Zürich",0.01,1,
83,28.0,KbInvoice,2022-06-01T00:00:00+02:00,113,101,"Gebäudeanalyse + kant. Förderantrag Flachdach, Amsler + Frey",6480.965645,1,
84,28.0,KbInvoice,2022-06-01T00:00:00+02:00,101,113,"Gebäudeanalyse + kant. Förderantrag Flachdach, Amsler + Frey",453.667595,1,
85,28.0,KbInvoice,2022-06-01T00:00:00+02:00,113,105,"Gebäudeanalyse + kant. Förderantrag Flachdach, Amsler + Frey",464.10195,1,
104,35.0,KbInvoice,2022-06-15T00:00:00+02:00,113,101,"Hiltiweg 17, 5443 Niederrohrdorf, NB 4FH",520.0,1,
105,35.0,KbInvoice,2022-06-15T00:00:00+02:00,113,105,"Hiltiweg 17, 5443 Niederrohrdorf, NB 4FH",40.04,1,
106,35.0,KbInvoice,2022-06-15T00:00:00+02:00,113,97,"Hiltiweg 17, 5443 Niederrohrdorf, NB 4FH",0.01,1,
107,,,2019-09-20T00:00:00+02:00,115,145,Stammkapital,20100.0,1,
108,,,2019-09-20T00:00:00+02:00,214,115,Bankgebühren,145.0,1,
109,,,2019-09-03T00:00:00+02:00,200,134,Handelsregisteramt,276.67,1,
110,,,2019-09-03T00:00:00+02:00,111,134,Handelsregisteramt,0.0,1,
111,,,2019-09-03T00:00:00+02:00,200,225,Handelsregisteramt,276.67,1,
112,,,2019-09-03T00:00:00+02:00,111,225,Handelsregisteramt,0.0,1,
113,,,2019-09-03T00:00:00+02:00,200,226,Handelsregisteramt,276.66,1,
114,,,2019-09-03T00:00:00+02:00,111,226,Handelsregisteramt,0.0,1,
115,,,2019-09-24T00:00:00+02:00,208,134,Webhosting,65.21,1,
116,,,2019-09-24T00:00:00+02:00,111,134,Webhosting,5.02,1,
117,,,2019-09-24T00:00:00+02:00,208,225,Webhosting,65.22,1,
118,,,2019-09-24T00:00:00+02:00,111,225,Webhosting,5.02,1,
119,,,2019-09-24T00:00:00+02:00,208,226,Webhosting,65.21,1,
120,,,2019-09-24T00:00:00+02:00,111,226,Webhosting,5.02,1,
121,,,2019-12-09T00:00:00+01:00,163,107,GEAK Expertenkurs,450.0,1,
122,,,2019-12-09T00:00:00+01:00,111,107,GEAK Expertenkurs,0.0,1,
123,,,2019-11-28T00:00:00+01:00,163,107,Lizenz Enerweb,690.02,1,
124,,,2019-11-28T00:00:00+01:00,112,107,Lizenz Enerweb,53.13,1,
125,,,2019-12-04T00:00:00+01:00,202,107,Drucker,204.27,1,
126,,,2019-12-04T00:00:00+01:00,111,107,Drucker,15.73,1,
127,,,2019-12-27T00:00:00+01:00,187,135,Weihnachtsfeier,63.97,1,
128,,,2019-12-27T00:00:00+01:00,111,135,Weihnachtsfeier,4.93,1,
129,,,2019-12-27T00:00:00+01:00,187,135,Weihnachtsfeier,66.85,1,
130,,,2019-12-27T00:00:00+01:00,111,135,Weihnachtsfeier,5.15,1,
131,,,2019-12-27T00:00:00+01:00,187,135,Weihnachtsfeier,90.53,1,
132,,,2019-12-27T00:00:00+01:00,111,135,Weihnachtsfeier,6.97,1,
133,,,2019-12-27T00:00:00+01:00,187,135,Weihnachtsfeier,2.5,1,
134,,,2019-12-27T00:00:00+01:00,111,135,Weihnachtsfeier,0.0,1,
135,,,2020-01-07T00:00:00+01:00,208,107,Skype,37.2,1,
136,,,2020-01-07T00:00:00+01:00,111,107,Skype,2.86,1,
137,,,2020-01-07T00:00:00+01:00,208,107,Skype,25.0,1,
138,,,2020-01-07T00:00:00+01:00,111,107,Skype,1.93,1,
139,,,2020-01-07T00:00:00+01:00,202,107,Büromaterial,113.79,1,
140,,,2020-01-07T00:00:00+01:00,111,107,Büromaterial,8.76,1,
141,,,2020-01-08T00:00:00+01:00,202,107,Büromaterial,28.51,1,
142,,,2020-01-08T00:00:00+01:00,111,107,Büromaterial,2.19,1,
143,,,2020-01-07T00:00:00+01:00,224,107,Lizenz CAD,3600.0,1,
144,,,2020-01-07T00:00:00+01:00,112,107,Lizenz CAD,277.2,1,
145,,,2020-01-07T00:00:00+01:00,224,107,Lizenz CAD,78.92,1,
